Name,rating,time_min
Kardec,6.2,110
Madras Beats,7.6,131
Love Action Drama,5.4,146
LKG,6.9,124
"God Exists, Her Name Is Petrunya",6.9,100
Oldur Beni Sevgilim,4.4,104
NTR: Mahanayakudu,5.4,128
Kolaigaran,7.2,109
Hababam Sinifi Yeniden,2.2,106
Safe,8.6,144
Real Cases of Shadow People The Sarah McCormick Story,6.7,107
Yajamana,7.1,164
Out Stealing Horses,6.8,123
Vijay Superum Pournamiyum,7.2,135
Mirreyes contra Godinez,5.2,109
Metallica & San Francisco Symphony - S&M2,8.8,150
Munthiri Monchan,9.4,130
Seberg,4.7,102
American Criminal,7.6,100
The Death and Return of Superman,6.6,166
Family of Thakurganj,9.4,127
Jabariya Jodi,4.2,125
Crazy Alien,5.8,116
Aame,6.3,143
Fan,9.5,145
Queen Marie of Romania,8,110
Ittymaani: Made in China,5,158
The Viking War,5.8,103
Bir Ask Iki Hayat,6.2,106
Kurukshetra,7.2,185
Natasaarvabhowma,7,157
"My People, My Country",6.4,154
The Forest of Love,6.5,151
Bring The Soul: The Movie,7.8,103
Badland,5.7,117
P Se Pyaar F Se Faraar,8,131
Theresa & Allison,8.2,120
The Shiny Shrimps,6.5,103
When the Moon Was Full,6.7,131
Ema,6.7,102
Top End Wedding,6.2,113
A Violent Separation,5.5,106
Animals,6.2,109
SGT. Will Gardner,5.9,125
Jo Pil-ho: The Dawning Rage,6.2,127
Tottaa Pataaka Item Maal,8,107
M/S Romantic,8.3,254
Prassthanam,5.8,141
Soul Hunters,6.4,101
Kim Ji-young: Born 1982,7.5,118
Arjun Patiala,4.2,107
Praana,8.6,107
Sons of Rizk 2,7.4,103
Ambili,7.1,140
Enai Noki Paayum Thota,6,153
"A White, White Day",7.2,109
438 Days,7.4,124
The Knight of Shadows: Between Yin and Yang,4.9,109
Robert the Bruce,5.1,124
Dirty God,6.5,104
Daniel,8.1,138
Sakala Kalasala,7,132
Pet Graveyard,5.8,100
Darlin',4.9,100
Christmas at the Plaza,6.8,120
Jiivi,7.9,122
2 Hours Love,7.6,150
Mucize Doktor,7.7,120
Rahman 1400,4.7,111
Aga's House,9,107
Instinct,6.4,108
Framing John DeLorean,6.4,109
Everybody's Everything,7,116
Sons of Denmark,6.6,123
Ayogya,6.1,146
Are You Afraid of the Dark?,7.2,132
Sivappu Manjal Pachai,7.2,140
Detective Conan: The Fist of Blue Sapphire,6.2,110
Marianne & Leonard: Words of Love,6.9,102
Witness,7.4,129
Oru Yamandan Premakadha,5.5,165
Tune in for Love,7.2,122
Mystery 101,7,120
Commando 3,6.1,133
Zombi Child,6.2,103
Impetigore,7.7,106
No Safe Spaces,7.8,100
Namma Veettu Pillai,6.1,153
